"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","tvtot","tvpol","ppltrst","pplfair","pplhlp","polintr","trstlgl","trstep","trstprl","prtcldes","lrscale","stfeco","stfgov","stfdem","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","aesfdrk","rlgblg","rlgdgr","dscrrce","dscrntn","dscrrlg","dscrlng","ctzcntr","ctzshipc","brncntr","cntbrthc","blgetmg","facntr","fbrncntb","mocntr","mmbrn","acetalv","imtcjob","imbleco","imwbcrm","gvrfgap","dfegcf","dfegcon","dfeghbg","admaimg","gndr","yrbrn","dvrcdeva","maritalb","eisced","edulvlb","pdwrk","crpdwk","wkhtot","uemp5yr","hinctnta","hincfel","edulvlfb","edulvlmb","ipeqopt","impsafe","ipfrule","ipudrst","impfree","ipstrgv","imptrad"
"ESS7e02_3",7,"2.3","23.11.2023",1,"ES",1,1.0327567,2.0491037,2.1162255,2,2,6,6,3,3,0,1,0,66,4,1,0,1,5,2,2,2,5,6,5,2,2,2,0,0,0,0,1,"66",1,"66",2,1,"66",2,8,2,5,2,4,4,2,6,4,4,2,1981,2,6,6,620,1,6,45,2,6,2,720,720,2,1,3,3,1,4,5
"ESS7e02_3",7,"2.3","23.11.2023",3,"ES",1,0.82634586,2.0491037,1.6932684,2,2,6,6,8,2,3,5,5,15,5,3,3,3,8,2,2,2,6,6,5,1,1,5,0,0,0,0,1,"66",1,"66",2,1,"66",1,9,1,7,7,4,2,2,6,5,1,1,1956,2,1,7,720,1,6,65,2,10,1,421,113,1,2,3,2,2,2,3
"ESS7e02_3",7,"2.3","23.11.2023",4,"ES",1,0.85083157,2.0491037,1.7434422,3,3,6,5,8,1,3,1,3,66,4,4,1,4,10,1,1,1,6,8,7,1,2,2,0,0,0,0,1,"66",1,"66",2,1,"66",1,2,2,6,5,5,1,1,6,8,2,1,1963,2,1,5,421,1,6,40,2,10,2,311,213,1,4,3,2,2,3,5
"ESS7e02_3",7,"2.3","23.11.2023",5,"ES",1,1.2441509,2.0491037,2.5493941,2,1,7,7,6,2,7,4,4,7,6,3,5,7,5,2,2,2,5,8,88,1,1,2,0,0,0,0,1,"66",1,"66",2,1,"66",1,10,2,5,2,5,2,2,4,7,2,1,1969,2,1,7,720,1,6,50,6,7,1,800,720,2,1,4,2,2,1,2
"ESS7e02_3",7,"2.3","23.11.2023",6,"ES",1,0.94191337,2.0491037,1.9300781,5,4,10,10,6,2,3,3,3,66,5,0,5,4,5,3,3,3,5,5,5,2,1,5,0,0,0,0,1,"66",1,"66",2,2,"PT",1,5,2,5,2,1,3,3,1,66,1,2,1948,2,1,4,313,0,2,44,6,6,2,8888,0,1,2,2,4,2,2,2
"ESS7e02_3",7,"2.3","23.11.2023",7,"ES",1,0.9272981,2.0491037,1.90013,7,2,7,5,3,2,4,88,0,66,3,0,0,5,7,2,2,2,7,8,7,2,2,1,0,0,0,0,1,"66",1,"66",2,1,"66",1,8,1,5,88,5,2,3,4,7,4,2,1945,2,1,1,113,0,2,42,6,6,1,113,113,2,3,2,3,3,1,4
"ESS7e02_3",7,"2.3","23.11.2023",8,"ES",1,0.9272981,2.0491037,1.90013,7,7,2,8,0,2,0,5,2,16,5,1,8,0,0,3,2,3,8,5,1,1,1,9,0,0,0,0,1,"66",1,"66",2,1,"66",1,10,2,6,3,2,4,3,1,66,2,2,1954,2,1,2,213,0,2,40,6,6,1,8888,0,1,2,2,2,5,2,6
"ESS7e02_3",7,"2.3","23.11.2023",10,"ES",1,0.9272981,2.0491037,1.90013,6,5,2,8,0,4,0,0,0,66,0,0,0,0,3,4,4,4,0,0,0,3,1,5,0,0,0,0,1,"66",1,"66",2,1,"66",1,5,3,0,1,1,4,3,1,66,1,2,1954,2,1,1,113,0,2,24,2,5,2,8888,0,1,1,1,1,1,1,1
"ESS7e02_3",7,"2.3","23.11.2023",12,"ES",1,1.05558,2.0491037,2.162993,0,66,5,7,3,4,0,5,5,66,77,4,0,0,4,2,3,3,0,2,3,2,1,7,0,0,0,0,1,"66",1,"66",2,1,"66",1,10,3,5,0,0,4,3,5,5,2,2,1976,2,1,6,620,1,6,45,6,5,2,113,113,3,4,2,2,4,2,1
"ESS7e02_3",7,"2.3","23.11.2023",14,"ES",1,0.9583291,2.0491037,1.9637157,3,1,3,3,5,3,1,2,4,66,3,0,0,2,1,4,4,3,0,2,1,3,1,7,1,0,0,0,1,"66",1,"66",1,1,"66",1,4,3,0,2,2,4,3,7,6,4,2,1983,2,1,2,213,1,6,48,6,3,2,0,0,4,4,5,4,4,5,2
"ESS7e02_3",7,"2.3","23.11.2023",15,"ES",1,0.8081083,2.0491037,1.6558979,4,2,0,5,5,3,5,5,5,66,5,4,4,7,3,3,3,3,5,8,5,2,1,0,0,0,0,0,1,"66",1,"66",2,1,"66",1,12,1,5,5,0,3,3,1,66,4,1,1960,2,6,2,213,1,6,42,1,8,1,113,113,1,1,2,3,1,1,4
"ESS7e02_3",7,"2.3","23.11.2023",18,"ES",1,1.2441509,2.0491037,2.5493941,2,2,1,3,4,3,0,0,0,15,1,0,0,0,3,2,2,2,7,7,7,1,1,1,0,0,0,0,1,"66",1,"66",2,1,"66",1,3,1,9,1,5,2,3,2,8,3,1,1978,2,1,5,520,1,6,84,6,9,1,421,129,3,1,5,3,1,3,1
"ESS7e02_3",7,"2.3","23.11.2023",19,"ES",1,0.9815128,2.0491037,2.0112214,0,66,6,6,5,2,2,8,6,1,8,2,5,4,3,3,3,8,7,6,5,2,1,7,0,0,0,0,1,"66",1,"66",2,1,"66",1,6,2,5,3,2,4,3,6,5,2,2,1995,2,6,4,313,0,2,30,6,4,3,322,720,1,1,2,1,1,2,1
"ESS7e02_3",7,"2.3","23.11.2023",22,"ES",1,0.9177204,2.0491037,1.8805043,5,2,3,6,6,3,88,5,6,2,3,4,2,4,7,1,1,1,5,5,5,2,1,8,0,0,0,0,1,"66",1,"66",2,1,"66",1,5,2,5,88,5,3,3,1,66,1,2,1943,2,1,1,113,0,2,666,6,77,2,0,0,2,2,2,2,2,2,2
"ESS7e02_3",7,"2.3","23.11.2023",23,"ES",1,1.2313005,2.0491037,2.5230625,3,0,2,5,2,2,0,2,2,15,0,0,0,0,0,1,1,1,10,5,5,1,2,0,0,0,0,0,1,"66",1,"66",2,1,"66",1,6,3,8,6,5,3,3,4,5,2,1,1979,2,6,6,620,1,6,15,2,5,2,113,113,1,2,5,1,1,3,5
"ESS7e02_3",7,"2.3","23.11.2023",25,"ES",1,1.1878216,2.0491037,2.4339697,0,66,7,6,2,1,0,6,1,11,2,0,0,0,9,1,1,1,8,10,9,1,2,0,0,0,0,0,1,"66",1,"66",2,1,"66",1,3,1,5,8,7,2,1,5,7,3,1,1987,2,6,7,720,1,6,54,1,10,2,520,520,1,1,5,1,1,2,4
"ESS7e02_3",7,"2.3","23.11.2023",26,"ES",1,0.9177204,2.0491037,1.8805043,3,0,7,7,3,3,3,0,0,66,5,0,0,0,7,1,1,1,6,8,8,2,2,4,0,0,0,0,1,"66",1,"66",2,1,"66",1,4,1,6,5,5,1,2,6,7,4,2,1957,1,4,2,213,1,6,45,6,5,2,113,0,1,5,4,1,1,1,6
"ESS7e02_3",7,"2.3","23.11.2023",27,"ES",1,0.95436823,2.0491037,1.9555995,7,7,7,2,4,2,1,0,4,16,5,0,0,4,4,3,3,4,2,8,2,2,1,7,0,0,0,0,1,"66",1,"66",2,1,"66",1,10,2,1,9,3,2,1,4,6,2,2,1963,1,4,2,222,0,2,35,2,1,4,0,0,2,2,3,1,2,1,2
"ESS7e02_3",7,"2.3","23.11.2023",28,"ES",1,0.70662975,2.0491037,1.4479576,5,5,2,2,2,2,2,8,2,1,7,2,5,6,9,3,3,3,2,3,2,2,1,5,0,0,0,0,1,"66",1,"66",2,1,"66",1,9,2,2,0,0,4,3,1,66,1,1,1944,2,1,3,322,0,2,888,6,9,1,0,8888,1,1,1,3,1,1,1
"ESS7e02_3",7,"2.3","23.11.2023",31,"ES",1,0.9177204,2.0491037,1.8805043,7,4,4,5,5,4,1,6,1,1,88,0,9,10,88,4,4,2,5,88,5,1,1,5,0,0,0,0,1,"66",1,"66",2,1,"66",1,12,1,1,88,5,2,3,6,5,4,2,1956,2,1,1,0,0,2,666,1,1,3,0,0,1,1,4,3,2,2,2
"ESS7e02_3",7,"2.3","23.11.2023",32,"ES",1,1.0446774,2.0491037,2.1406524,0,66,9,9,9,3,5,3,4,15,1,3,0,0,8,1,1,1,7,10,9,2,2,9,0,0,0,0,1,"66",1,"66",2,1,"66",1,8,2,5,8,3,1,1,7,10,4,2,1979,1,1,5,520,0,2,40,2,4,2,620,311,1,4,4,2,2,1,5
"ESS7e02_3",7,"2.3","23.11.2023",33,"ES",1,0.94843084,2.0491037,1.9434332,4,1,5,8,4,2,5,2,5,15,3,7,1,2,88,3,3,2,4,5,5,3,1,6,0,0,0,0,1,"66",1,"66",8,1,"66",1,3,3,2,5,1,3,2,7,5,3,2,1998,2,6,2,213,0,2,666,6,88,1,222,421,2,2,4,2,1,1,2
"ESS7e02_3",7,"2.3","23.11.2023",34,"ES",1,0.7997617,2.0491037,1.6387947,2,2,4,2,4,2,0,88,8,1,88,6,9,88,88,1,1,1,3,3,88,2,1,10,0,0,0,0,1,"66",1,"66",2,1,"66",1,5,2,6,4,5,2,2,1,66,1,1,1935,2,1,1,0,0,2,888,6,1,4,0,0,2,2,3,2,2,2,6
"ESS7e02_3",7,"2.3","23.11.2023",35,"ES",1,0.9713751,2.0491037,1.9904484,3,0,7,8,6,3,4,3,4,1,6,4,5,5,7,1,1,1,6,8,4,3,1,5,0,0,0,0,1,"66",1,"66",2,1,"66",1,5,2,6,5,3,3,2,7,7,1,2,1981,2,1,3,311,1,6,36,6,6,1,0,0,1,1,3,2,1,2,3
